label,final_value,cagr,sharpe,max_dd,vol,trades,win_rate,stops,blocks
BASELINE,8313069.145217617,0.18461898262905718,0.8910093862261041,-0.28529110434006044,0.20720206260791055,5457,0.5539673813450614,9,0
5d-Univ-P70,3485380.2067184686,0.1458026333583864,0.7058480656881934,-0.2738518964684023,0.20656376413843477,4705,0.5519659936238045,10,6652
5d-Univ-P75,2950533.256634498,0.13851005730869992,0.6640342908773776,-0.37394317414369094,0.20858871177524407,4802,0.5485214493960849,10,5490
5d-Univ-P80,2042900.0698550574,0.12258138545810793,0.5874704801727364,-0.38126428899284015,0.2086596511573906,4993,0.5475665932305227,9,4286
5d-Univ-P85,3586523.387953279,0.1470595676849651,0.7185332109417956,-0.2639534029851553,0.20466634728297559,4981,0.5500903433045573,11,3308
5d-Univ-P90,3572611.096584551,0.14688871291994476,0.7251635416958596,-0.46729297675977044,0.20255942897574858,5174,0.5508310784692694,10,2302
5d-Univ-P95,4278085.066191625,0.15483753262492783,0.7639174489461038,-0.4596411374609679,0.2026888282739723,5254,0.5504377617053673,11,1190
5d-Abs>3%,2602587.2740833615,0.13304780456308074,0.6828836528915814,-0.3802668808398021,0.1948323173350354,4887,0.5475751995089012,11,4388
5d-Abs>5%,3914018.3660519635,0.15090757969891966,0.7532326582370695,-0.32838262233724685,0.2003465702776573,5202,0.5495963091118801,10,2160
5d-Abs>7%,4475062.640685783,0.15683167526152864,0.768743119553169,-0.4739316833320855,0.20401050919673513,5265,0.5517568850902185,10,1100
5d-Abs>10%,5433997.25375356,0.16547219047016903,0.8019993739273517,-0.2701120158644924,0.20632458808522483,5357,0.5484412917677804,10,410
5d-Abs>12%,6900887.67562831,0.17619601416792263,0.85654370265697,-0.2701120158644917,0.2057058076795947,5397,0.5506763016490643,10,254
5d-Abs>15%,6786541.783865452,0.17544303284011753,0.8497699895649087,-0.27011258878267635,0.20645943607628017,5412,0.5533998521803399,10,146
5d-Abs>20%,8369672.822344255,0.1849271231579297,0.8955712374630124,-0.28529110434006133,0.20649069043551915,5451,0.5543936892313337,9,42
1d-Abs>2%,2221588.6661334233,0.1261949423696349,0.6212551150933915,-0.4215137156169225,0.2031290194699876,5260,0.5452471482889734,10,1282
1d-Abs>3%,4225060.663343114,0.15428564117157673,0.7560972499080453,-0.41995784465055336,0.20405528679060872,5333,0.5544721545096568,10,520
1d-Abs>4%,5818162.259523651,0.1685275060951037,0.8256520302987922,-0.4077324796691426,0.2041144452029215,5352,0.5554932735426009,10,256
1d-Abs>5%,6702384.138004543,0.17488100948599672,0.8650046477776752,-0.3114046145141486,0.20217349113128108,5375,0.5538604651162791,10,128
1d-Abs>7%,8726131.61971761,0.18682276516724694,0.8998733976946733,-0.28528249404046124,0.2076100545319552,5430,0.554696132596685,9,48
1d-Abs>10%,8169522.516988718,0.18382840051466287,0.8842725839195376,-0.28528249404046163,0.2078865768967343,5435,0.5545538178472861,9,16
